Date,Open,High,Low,Close,Adj Close,Volume
2013-09-17,285.000000,290.000000,285.000000,290.000000,290.000000,11299500
2013-09-18,285.000000,290.000000,280.000000,290.000000,290.000000,12045500
2013-09-19,295.000000,310.000000,290.000000,305.000000,305.000000,15810500
2013-09-20,305.000000,305.000000,295.000000,300.000000,300.000000,8139000
2013-09-23,300.000000,300.000000,290.000000,295.000000,295.000000,6598500
2013-09-24,295.000000,295.000000,290.000000,295.000000,295.000000,6233000
2013-09-25,290.000000,290.000000,290.000000,290.000000,290.000000,5756000
2013-09-26,285.000000,300.000000,280.000000,295.000000,295.000000,19576000
2013-09-27,300.000000,310.000000,300.000000,305.000000,305.000000,16455000
2013-09-30,310.000000,320.000000,300.000000,315.000000,315.000000,17256000
2013-10-01,315.000000,335.000000,315.000000,325.000000,325.000000,19089000
2013-10-02,330.000000,350.000000,330.000000,350.000000,350.000000,26751000
2013-10-03,345.000000,355.000000,340.000000,340.000000,340.000000,19222500
2013-10-04,340.000000,340.000000,330.000000,330.000000,330.000000,11971000
2013-10-07,330.000000,335.000000,330.000000,335.000000,335.000000,7866500
2013-10-08,335.000000,345.000000,335.000000,340.000000,340.000000,10396500
2013-10-09,345.000000,355.000000,340.000000,350.000000,350.000000,14104000
2013-10-10,350.000000,380.000000,350.000000,375.000000,375.000000,39070500
2013-10-11,385.000000,395.000000,375.000000,395.000000,395.000000,31951500
2013-10-16,395.000000,405.000000,390.000000,390.000000,390.000000,33943000
2013-10-17,395.000000,395.000000,385.000000,390.000000,390.000000,23106500
2013-10-18,390.000000,395.000000,385.000000,395.000000,395.000000,17233500
2013-10-21,395.000000,400.000000,390.000000,395.000000,395.000000,15752500
2013-10-22,395.000000,400.000000,395.000000,395.000000,395.000000,12953500
2013-10-23,400.000000,410.000000,395.000000,400.000000,400.000000,34331500
2013-10-24,405.000000,410.000000,400.000000,405.000000,405.000000,21348500
2013-10-25,410.000000,420.000000,405.000000,405.000000,405.000000,19749500
2013-10-28,405.000000,415.000000,400.000000,400.000000,400.000000,17856500
2013-10-29,400.000000,410.000000,390.000000,390.000000,390.000000,18066500
2013-10-30,390.000000,410.000000,385.000000,405.000000,405.000000,26923000
2013-10-31,405.000000,405.000000,395.000000,395.000000,395.000000,17331000
2013-11-01,400.000000,400.000000,390.000000,390.000000,390.000000,10423500
2013-11-04,390.000000,400.000000,390.000000,400.000000,400.000000,11711000
2013-11-06,405.000000,410.000000,400.000000,405.000000,405.000000,11234500
2013-11-07,405.000000,425.000000,405.000000,425.000000,425.000000,22227000
2013-11-08,425.000000,430.000000,420.000000,425.000000,425.000000,9600000
2013-11-11,430.000000,430.000000,425.000000,430.000000,430.000000,10108000
2013-11-12,430.000000,435.000000,415.000000,415.000000,415.000000,10318000
2013-11-13,415.000000,415.000000,405.000000,405.000000,405.000000,7694500
2013-11-14,405.000000,415.000000,405.000000,410.000000,410.000000,7643500
2013-11-15,410.000000,415.000000,405.000000,405.000000,405.000000,6849000
2013-11-18,405.000000,410.000000,405.000000,405.000000,405.000000,8093500
2013-11-19,410.000000,410.000000,405.000000,405.000000,405.000000,6399000
2013-11-20,405.000000,405.000000,400.000000,405.000000,405.000000,7593500
2013-11-21,400.000000,410.000000,400.000000,410.000000,410.000000,8227500
2013-11-22,405.000000,410.000000,405.000000,410.000000,410.000000,6219000
2013-11-25,410.000000,420.000000,410.000000,410.000000,410.000000,10982500
2013-11-26,410.000000,415.000000,405.000000,405.000000,405.000000,8327500
2013-11-27,405.000000,415.000000,405.000000,415.000000,415.000000,11055500
2013-11-28,415.000000,415.000000,405.000000,405.000000,405.000000,6310000
2013-11-29,410.000000,415.000000,405.000000,405.000000,405.000000,11334500
2013-12-02,410.000000,425.000000,405.000000,425.000000,425.000000,30302500
2013-12-03,425.000000,430.000000,420.000000,430.000000,430.000000,25430500
2013-12-04,430.000000,440.000000,425.000000,430.000000,430.000000,21504500
2013-12-05,435.000000,440.000000,425.000000,440.000000,440.000000,24708000
2013-12-06,440.000000,450.000000,435.000000,445.000000,445.000000,25741000
2013-12-09,445.000000,450.000000,445.000000,445.000000,445.000000,23675000
2013-12-10,450.000000,455.000000,445.000000,445.000000,445.000000,23331000
2013-12-11,445.000000,465.000000,445.000000,460.000000,460.000000,36370500
2013-12-12,460.000000,460.000000,450.000000,460.000000,460.000000,24654500
2013-12-13,460.000000,470.000000,455.000000,470.000000,470.000000,23572000
2013-12-16,470.000000,475.000000,460.000000,465.000000,465.000000,21919000
2013-12-17,460.000000,470.000000,460.000000,465.000000,465.000000,17421000
2013-12-18,465.000000,475.000000,465.000000,465.000000,465.000000,16886000
2013-12-19,470.000000,485.000000,470.000000,475.000000,475.000000,32750000
2013-12-20,480.000000,485.000000,475.000000,480.000000,480.000000,23618500
2013-12-23,480.000000,490.000000,480.000000,485.000000,485.000000,22245500
2013-12-24,485.000000,490.000000,475.000000,475.000000,475.000000,21292000
2013-12-27,475.000000,480.000000,475.000000,480.000000,480.000000,15948000
2013-12-30,480.000000,480.000000,470.000000,470.000000,470.000000,15647500
2014-01-02,470.000000,475.000000,465.000000,470.000000,470.000000,16297500
2014-01-03,465.000000,465.000000,455.000000,455.000000,455.000000,16317000
2014-01-06,455.000000,460.000000,452.000000,458.000000,458.000000,9739300
2014-01-07,458.000000,461.000000,458.000000,458.000000,458.000000,7670300
2014-01-08,458.000000,461.000000,456.000000,460.000000,460.000000,12356400
2014-01-09,460.000000,465.000000,459.000000,463.000000,463.000000,9705400
2014-01-10,464.000000,474.000000,464.000000,472.000000,472.000000,17477200
2014-01-13,472.000000,477.000000,471.000000,476.000000,476.000000,16088200
2014-01-15,477.000000,484.000000,476.000000,481.000000,481.000000,16958300
2014-01-16,481.000000,494.000000,480.000000,486.000000,486.000000,27257300
2014-01-17,486.000000,498.000000,484.000000,488.000000,488.000000,34381600
2014-01-20,490.000000,494.000000,480.000000,480.000000,480.000000,23290100
2014-01-21,480.000000,486.000000,470.000000,470.000000,470.000000,27710400
2014-01-22,471.000000,476.000000,466.000000,466.000000,466.000000,18378200
2014-01-23,465.000000,470.000000,463.000000,468.000000,468.000000,12163400
2014-01-24,466.000000,469.000000,465.000000,466.000000,466.000000,8121200
2014-01-27,464.000000,466.000000,460.000000,462.000000,462.000000,10203400
2014-01-28,462.000000,469.000000,460.000000,464.000000,464.000000,12769100
2014-01-29,465.000000,467.000000,462.000000,464.000000,464.000000,10487400
2014-01-30,462.000000,469.000000,462.000000,465.000000,465.000000,14227400
2014-02-03,465.000000,466.000000,462.000000,463.000000,463.000000,9781100
2014-02-04,451.000000,460.000000,440.000000,451.000000,451.000000,9861600
2014-02-05,450.000000,460.000000,450.000000,457.000000,457.000000,11979200
2014-02-06,458.000000,464.000000,458.000000,464.000000,464.000000,10874300
2014-02-07,465.000000,472.000000,464.000000,472.000000,472.000000,14467000
2014-02-10,473.000000,480.000000,472.000000,479.000000,479.000000,18386300
2014-02-11,479.000000,485.000000,479.000000,482.000000,482.000000,19986300
2014-02-12,482.000000,486.000000,481.000000,483.000000,483.000000,19853000
2014-02-13,482.000000,484.000000,482.000000,483.000000,483.000000,15535300
2014-02-14,483.000000,488.000000,483.000000,488.000000,488.000000,20090500
2014-02-17,488.000000,494.000000,488.000000,492.000000,492.000000,31970800
2014-02-18,493.000000,496.000000,491.000000,494.000000,494.000000,21763300
2014-02-19,494.000000,505.000000,494.000000,498.000000,498.000000,23919100
2014-02-20,498.000000,520.000000,498.000000,500.000000,500.000000,34333500
2014-02-21,500.000000,510.000000,498.000000,498.000000,498.000000,34509900
2014-02-24,498.000000,505.000000,494.000000,494.000000,494.000000,22360200
2014-02-25,494.000000,510.000000,494.000000,505.000000,505.000000,30641300
2014-02-26,515.000000,520.000000,500.000000,505.000000,505.000000,25896600
2014-02-27,505.000000,515.000000,505.000000,510.000000,510.000000,26504900
2014-02-28,515.000000,535.000000,515.000000,520.000000,520.000000,35610300
2014-03-03,520.000000,540.000000,515.000000,525.000000,525.000000,20170000
2014-03-04,525.000000,535.000000,520.000000,520.000000,520.000000,17824300
2014-03-05,525.000000,535.000000,520.000000,520.000000,520.000000,20858600
2014-03-06,525.000000,540.000000,520.000000,530.000000,530.000000,29326300
2014-03-07,530.000000,545.000000,525.000000,530.000000,530.000000,31465200
2014-03-10,530.000000,530.000000,515.000000,515.000000,515.000000,21378400
2014-03-11,515.000000,530.000000,515.000000,515.000000,515.000000,24614600
2014-03-12,520.000000,525.000000,499.000000,520.000000,520.000000,37615000
2014-03-13,520.000000,535.000000,520.000000,525.000000,525.000000,21107800
2014-03-14,520.000000,525.000000,515.000000,520.000000,520.000000,24034500
2014-03-17,520.000000,535.000000,520.000000,525.000000,525.000000,25077400
2014-03-18,530.000000,550.000000,525.000000,550.000000,550.000000,41040300
2014-03-19,550.000000,565.000000,545.000000,555.000000,555.000000,29312400
2014-03-20,555.000000,565.000000,550.000000,555.000000,555.000000,21310200
2014-03-21,555.000000,565.000000,550.000000,555.000000,555.000000,23577500
2014-03-24,555.000000,560.000000,555.000000,555.000000,555.000000,22838000
2014-03-25,555.000000,555.000000,545.000000,550.000000,550.000000,14573500
2014-03-26,545.000000,555.000000,545.000000,550.000000,550.000000,19104000
2014-03-27,545.000000,555.000000,545.000000,550.000000,550.000000,19255900
2014-03-28,545.000000,565.000000,545.000000,555.000000,555.000000,25843200
2014-04-01,555.000000,560.000000,550.000000,550.000000,550.000000,21172400
2014-04-02,550.000000,560.000000,545.000000,545.000000,545.000000,19569400
2014-04-03,550.000000,555.000000,545.000000,550.000000,550.000000,17841700
2014-04-04,550.000000,550.000000,540.000000,550.000000,550.000000,18648900
2014-04-07,550.000000,550.000000,540.000000,545.000000,545.000000,15608800
2014-04-08,545.000000,560.000000,545.000000,550.000000,550.000000,17074000
2014-04-09,550.000000,550.000000,550.000000,550.000000,550.000000,0
2014-04-10,550.000000,550.000000,540.000000,550.000000,550.000000,24308300
2014-04-11,545.000000,550.000000,540.000000,545.000000,545.000000,17405600
